,id,story,query,text_query,target,text_target,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,syn_story,node_mapping,task_split
0,8c58980a-f499-45bc-93d6-b88a52650207,[Julia] is the daughter-in-law of [Catherine]. ,"('Catherine', 'Julia')",What is the family connection between [Catherine] and [Julia] ? ,daughter-in-law,['[Catherine] has a daughter-in-law who is [Julia]. '],[Julia] is the daughter-in-law of [Catherine]. ,[],daughter-in-law,task_1.1,"[(0, 1)]",['daughter-in-law'],"(0, 1)","Catherine:female,Julia:female",,"{6: 0, 28: 1}",train
1,fd8d0a17-fb8b-4955-84c1-1b35340cb520,[Aaron] is [Ashlee]'s father. ,"('Ashlee', 'Aaron')",What is the family connection between [Ashlee] and [Aaron] ? ,father,['[Aaron] is the father of [Ashlee]. '],[Aaron] is [Ashlee]'s father. ,[],father,task_1.1,"[(0, 1)]",['father'],"(0, 1)","Ashlee:female,Aaron:male",,"{19: 0, 4: 1}",train
2,7d6b63c1-405f-40fe-aac9-ad4e977fff1f,[Samuel] is [Clinton]'s grandfather. ,"('Clinton', 'Samuel')","For [Clinton], who is [Samuel] ? ",grandfather,"[""[Samuel] is [Clinton]'s grandfather. ""]",[Samuel] is [Clinton]'s grandfather. ,[],grandfather,task_1.1,"[(0, 1)]",['grandfather'],"(0, 1)","Clinton:male,Samuel:male",,"{9: 0, 0: 1}",train
3,b02df075-283e-4605-8f8f-8ee352569ea7,[David] is the father-in-law of [Kristy]. ,"('Kristy', 'David')",Who is [David] from the point of relation of [Kristy] ? ,father-in-law,['[David] is the father-in-law of [Kristy]. '],[David] is the father-in-law of [Kristy]. ,[],father-in-law,task_1.1,"[(0, 1)]",['father-in-law'],"(0, 1)","Kristy:female,David:male",,"{33: 0, 3: 1}",train
4,7319e727-30af-46f7-8dc9-eaa7ccc99519,[Samuel] has a grandson who is [Francisco]. ,"('Samuel', 'Francisco')","For [Samuel], who is [Francisco] ? ",grandson,['[Samuel] has a grandson who is [Francisco]. '],[Samuel] has a grandson who is [Francisco]. ,[],grandson,task_1.1,"[(0, 1)]",['grandson'],"(0, 1)","Samuel:male,Francisco:male",,"{0: 0, 17: 1}",train
5,296aaa27-c125-46b9-a677-f1950e02895d,[Elizabeth] is the grandmother of [Percy]. ,"('Percy', 'Elizabeth')",How is [Percy] related to [Elizabeth] ? ,grandmother,"[""[Elizabeth] is [Percy]'s grandmother. ""]",[Elizabeth] is the grandmother of [Percy]. ,[],grandmother,task_1.1,"[(0, 1)]",['grandmother'],"(0, 1)","Percy:male,Elizabeth:female",,"{14: 0, 1: 1}",train
6,f04f8b0c-275b-4d9f-ab3b-2d88073cc55b,[Aaron] is [Solomon]'s uncle. ,"('Solomon', 'Aaron')",How are [Solomon] and [Aaron] related to each other ? ,uncle,"[""[Aaron] is [Solomon]'s uncle. ""]",[Aaron] is [Solomon]'s uncle. ,[],uncle,task_1.1,"[(0, 1)]",['uncle'],"(0, 1)","Solomon:male,Aaron:male",,"{15: 0, 4: 1}",train
7,43aaa02d-0161-489f-9b46-eb4b902d5547,[Michael] is the son-in-law of [Alfred]. ,"('Alfred', 'Michael')",How is [Alfred] related to [Michael] ? ,son-in-law,['[Michael] is the son-in-law of [Alfred]. '],[Michael] is the son-in-law of [Alfred]. ,[],son-in-law,task_1.1,"[(0, 1)]",['son-in-law'],"(0, 1)","Alfred:male,Michael:male",,"{2: 0, 27: 1}",train
8,496ba10f-c7fb-474d-913c-526bbb256980,[David] has a brother named [Alfred]. ,"('David', 'Alfred')",What is the family connection between [David] and [Alfred] ? ,brother,['[David] has a brother named [Alfred]. '],[David] has a brother named [Alfred]. ,[],brother,task_1.1,"[(0, 1)]",['brother'],"(0, 1)","David:male,Alfred:male",,"{3: 0, 2: 1}",train
9,b4c4aadb-723e-4fce-9af0-165993379684,[Jack] is a son of [Sara]. ,"('Sara', 'Jack')","For [Sara], who is [Jack] ? ",son,['[Sara] has a son called [Jack]. '],[Jack] is a son of [Sara]. ,[],son,task_1.1,"[(0, 1)]",['son'],"(0, 1)","Sara:female,Jack:male",,"{5: 0, 24: 1}",train
10,20356c84-4550-4aa2-944c-bd51e7ff3e45,[Samuel] is [Lavonne]'s father. ,"('Lavonne', 'Samuel')",What is the family connection between [Lavonne] and [Samuel] ? ,father,"[""[Samuel] is [Lavonne]'s father. ""]",[Samuel] is [Lavonne]'s father. ,[],father,task_1.1,"[(0, 1)]",['father'],"(0, 1)","Lavonne:female,Samuel:male",,"{16: 0, 0: 1}",train
11,1b4944eb-3212-42ef-917c-a872d1517917,[Sarah] is the daughter-in-law of [Aaron]. ,"('Aaron', 'Sarah')","For [Aaron], who is [Sarah] ? ",daughter-in-law,['[Aaron] has a daughter-in-law who is [Sarah]. '],[Sarah] is the daughter-in-law of [Aaron]. ,[],daughter-in-law,task_1.1,"[(0, 1)]",['daughter-in-law'],"(0, 1)","Aaron:male,Sarah:female",,"{4: 0, 35: 1}",train
12,ec81d70c-0809-46dc-8f90-00ac536e8e6d,[Solomon] is the nephew of [Joseph]. ,"('Joseph', 'Solomon')",How are [Joseph] and [Solomon] related to each other ? ,nephew,['[Solomon] is the nephew of [Joseph]. '],[Solomon] is the nephew of [Joseph]. ,[],nephew,task_1.1,"[(0, 1)]",['nephew'],"(0, 1)","Joseph:male,Solomon:male",,"{21: 0, 15: 1}",train
